latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.5,-0.120000124,29.0,0,GMT,GMT

time,precipitation_probability (%)
2023-06-27T00:00,0
2023-06-27T01:00,0
2023-06-27T02:00,0
2023-06-27T03:00,0
2023-06-27T04:00,0
2023-06-27T05:00,0
2023-06-27T06:00,0
2023-06-27T07:00,0
2023-06-27T08:00,0
2023-06-27T09:00,0
2023-06-27T10:00,0
2023-06-27T11:00,0
2023-06-27T12:00,0
2023-06-27T13:00,0
2023-06-27T14:00,0
2023-06-27T15:00,0
2023-06-27T16:00,2
2023-06-27T17:00,4
2023-06-27T18:00,6
2023-06-27T19:00,6
2023-06-27T20:00,6
2023-06-27T21:00,6
2023-06-27T22:00,5
2023-06-27T23:00,4
2023-06-28T00:00,3
2023-06-28T01:00,2
2023-06-28T02:00,1
2023-06-28T03:00,0
2023-06-28T04:00,0
2023-06-28T05:00,0
2023-06-28T06:00,0
2023-06-28T07:00,0
2023-06-28T08:00,0
2023-06-28T09:00,0
2023-06-28T10:00,1
2023-06-28T11:00,2
2023-06-28T12:00,3
2023-06-28T13:00,8
2023-06-28T14:00,14
2023-06-28T15:00,19
2023-06-28T16:00,21
2023-06-28T17:00,24
2023-06-28T18:00,26
2023-06-28T19:00,24
2023-06-28T20:00,21
2023-06-28T21:00,19
2023-06-28T22:00,16
2023-06-28T23:00,13
2023-06-29T00:00,10
2023-06-29T01:00,14
2023-06-29T02:00,19
2023-06-29T03:00,23
2023-06-29T04:00,26
2023-06-29T05:00,29
2023-06-29T06:00,32
2023-06-29T07:00,31
2023-06-29T08:00,30
2023-06-29T09:00,29
2023-06-29T10:00,26
2023-06-29T11:00,22
2023-06-29T12:00,19
2023-06-29T13:00,21
2023-06-29T14:00,24
2023-06-29T15:00,26
2023-06-29T16:00,24
2023-06-29T17:00,21
2023-06-29T18:00,19
2023-06-29T19:00,17
2023-06-29T20:00,15
2023-06-29T21:00,13
2023-06-29T22:00,11
2023-06-29T23:00,8
2023-06-30T00:00,6
2023-06-30T01:00,5
2023-06-30T02:00,4
2023-06-30T03:00,3
2023-06-30T04:00,2
2023-06-30T05:00,1
2023-06-30T06:00,0
2023-06-30T07:00,0
2023-06-30T08:00,0
2023-06-30T09:00,0
2023-06-30T10:00,3
2023-06-30T11:00,7
2023-06-30T12:00,10
2023-06-30T13:00,9
2023-06-30T14:00,7
2023-06-30T15:00,6
2023-06-30T16:00,15
2023-06-30T17:00,23
2023-06-30T18:00,32
2023-06-30T19:00,29
2023-06-30T20:00,26
2023-06-30T21:00,23
2023-06-30T22:00,21
2023-06-30T23:00,18
2023-07-01T00:00,16
2023-07-01T01:00,22
2023-07-01T02:00,29
2023-07-01T03:00,35
2023-07-01T04:00,35
2023-07-01T05:00,35
2023-07-01T06:00,35
2023-07-01T07:00,33
2023-07-01T08:00,31
2023-07-01T09:00,29
2023-07-01T10:00,35
2023-07-01T11:00,42
2023-07-01T12:00,48
2023-07-01T13:00,46
2023-07-01T14:00,44
2023-07-01T15:00,42
2023-07-01T16:00,41
2023-07-01T17:00,40
2023-07-01T18:00,39
2023-07-01T19:00,36
2023-07-01T20:00,32
2023-07-01T21:00,29
2023-07-01T22:00,21
2023-07-01T23:00,14
2023-07-02T00:00,6
2023-07-02T01:00,4
2023-07-02T02:00,2
2023-07-02T03:00,0
2023-07-02T04:00,0
2023-07-02T05:00,0
2023-07-02T06:00,0
2023-07-02T07:00,0
2023-07-02T08:00,0
2023-07-02T09:00,0
2023-07-02T10:00,1
2023-07-02T11:00,2
2023-07-02T12:00,3
2023-07-02T13:00,4
2023-07-02T14:00,5
2023-07-02T15:00,6
2023-07-02T16:00,6
2023-07-02T17:00,6
2023-07-02T18:00,6
2023-07-02T19:00,6
2023-07-02T20:00,6
2023-07-02T21:00,6
2023-07-02T22:00,7
2023-07-02T23:00,9
2023-07-03T00:00,10
2023-07-03T01:00,9
2023-07-03T02:00,7
2023-07-03T03:00,6
2023-07-03T04:00,5
2023-07-03T05:00,4
2023-07-03T06:00,3
2023-07-03T07:00,6
2023-07-03T08:00,10
2023-07-03T09:00,13
2023-07-03T10:00,18
2023-07-03T11:00,24
2023-07-03T12:00,29
2023-07-03T13:00,31
2023-07-03T14:00,33
2023-07-03T15:00,35
2023-07-03T16:00,31
2023-07-03T17:00,27
2023-07-03T18:00,23
2023-07-03T19:00,20
2023-07-03T20:00,16
2023-07-03T21:00,13
2023-07-03T22:00,13
2023-07-03T23:00,13
